,ZIPCODE,geometry,VENDOR TYPE
254,10019,POINT (989413.2814572422 217626.73364240318),CONVENIENCE STORE
255,10019,POINT (986779.9187897798 218220.17426153668),GROCERY SUPERMARKET
256,10019,POINT (986697.6247912529 218296.678676826),GROCERY SUPERMARKET
257,10019,POINT (990324.8953212588 217293.4165104297),CONVENIENCE STORE
258,10019,POINT (989133.3645455516 216872.50839477594),CONVENIENCE STORE
259,10019,POINT (990608.9178079555 217842.29276041148),GROCERY SUPERMARKET
260,10019,POINT (989394.2278630205 217473.73380065386),STAND
261,10019,POINT (988552.270828637 216449.78254208577),CONVENIENCE STORE
262,10019,POINT (988619.2048136385 216890.62628672988),GROCERY SUPERMARKET
263,10019,POINT (990360.5947276161 217914.77458041758),GROCERY SUPERMARKET
264,10019,POINT (986552.8111701959 217808.46808836714),DELICATESSEN
265,10019,POINT (989008.9369741948 218610.37276468953),STAND
266,10019,POINT (989532.9060707195 217841.71657936455),GROCERY SUPERMARKET
267,10019,POINT (989930.7870429651 216620.0801759496),CONVENIENCE STORE
268,10019,POINT (986425.9630167152 217582.5666618506),CONVENIENCE STORE
269,10019,POINT (989849.3867600396 218413.7955211008),OTHER
270,10019,POINT (988787.6592606421 216919.82095412712),GROCERY SUPERMARKET
271,10019,POINT (989180.8284180748 217889.02216688226),STAND
272,10019,POINT (989123.2051405179 216471.74060980263),CONVENIENCE STORE
273,10019,POINT (989457.0983660482 216100.19272009472),CONVENIENCE STORE
274,10019,POINT (989106.0915881364 217633.96890498395),GROCERY SUPERMARKET
275,10019,POINT (988455.3452864779 216205.66004411425),STAND
276,10019,POINT (988792.2324681651 216056.34397354166),CONVENIENCE STORE
277,10019,POINT (990782.3411723832 216362.83504494844),CONVENIENCE STORE
278,10018,POINT (987635.8180156475 212766.23559553805),GROCERY SUPERMARKET
279,10018,POINT (988142.7656584865 213367.46718826497),GROCERY SUPERMARKET
280,10018,POINT (988394.8230250793 213815.63847416537),STAND
281,10018,POINT (983953.5822877593 215094.09558990368),STAND
282,10018,POINT (985948.0098095412 215079.5558337428),GROCERY SUPERMARKET
283,10018,POINT (987890.7000730275 212912.01523336495),STAND
284,10018,POINT (985897.3149389519 214769.86674681475),CONVENIENCE STORE
285,10018,POINT (986663.1252224032 214296.30146773774),GROCERY SUPERMARKET
286,10018,POINT (986550.9437041609 213993.90338286583),GROCERY SUPERMARKET
287,10018,POINT (985256.7489456687 215695.240184827),GROCERY SUPERMARKET
288,10018,POINT (987774.701020982 214012.26615194985),CONVENIENCE STORE
289,10018,POINT (987697.4861578601 213520.39502981518),GROCERY SUPERMARKET
290,10018,POINT (985499.2369860595 214052.1083544272),BAR/LOUNGE
291,10018,POINT (986842.3199988427 214839.1786688121),STAND
292,10018,POINT (988202.827071635 213434.27504569996),GROCERY SUPERMARKET
293,10018,POINT (987238.4909649723 213602.94471318217),GROCERY SUPERMARKET
294,10018,POINT (986842.3199988427 214839.1786688121),STAND
295,10018,POINT (988553.7293999472 212806.44698738074),GROCERY SUPERMARKET
296,10018,POINT (986968.5728145961 213214.26618527502),GROCERY SUPERMARKET
297,10018,POINT (986842.3199988427 214839.1786688121),STAND
298,10018,POINT (987639.3374521111 213174.2845998745),CONVENIENCE STORE
299,10018,POINT (988661.2970306674 212449.41633698746),CONVENIENCE STORE
300,10018,POINT (986842.3199988427 214839.1786688121),GROCERY SUPERMARKET
301,10018,POINT (986990.2041378049 213123.20412140465),STAND
302,10018,POINT (985475.1342647193 214008.39197016257),GROCERY SUPERMARKET
