ZIPCODE,NORMALIZED EDP CALLS,NORMALIZED_TREE_COUNT,LIQUOR_SHOPS_NORMALIZED,NORMALIZED_SMOKE,KW_POTENTIAL,NORMALIZED_RESTAURANT_COUNT,NORMALIZED_SIDEWALK_WIDTH,SIDEWALK CONDITION COMPLAINTS,STREET LIGHT CONDITION COMPLAINTS,NORMALIZED_HEIGHT,POPULATION
10033,0.41602221523430055,-0.7488548305309246,0.0038943441678656334,-0.14253460339032656,-0.551774208638354,-0.16734699013759743,-0.1804363758646495,-0.7263521473424409,-0.4566902535737563,0.10749390521836788,108568.0
10034,0.20061070349299392,-0.6987581945758623,-0.1577418678255505,-0.09313276536654766,-0.44923462718205154,-0.14075074078192584,0.9412701601704894,-0.29387891321827914,-0.2657275736250392,-0.07020586714764616,78298.0
10035,-0.2472135196174126,-0.8452759481834555,0.9268061050790172,0.6074458424923198,-0.3697142760090138,-0.03830396101925453,-1.2505593354224194,-0.21118633437117873,-0.4941222813083747,0.735820199763874,139536.0
10036,1.5615791603626157,-0.7274597457129817,0.6889136814620233,1.0563884203069307,-0.884726504468018,1.002235999825767,1.0664443377894313,0.5762326347542983,-0.4768490871854509,0.7042657095975776,47086.0
10037,0.7512064185971862,-0.6856335693300317,-0.1262384055264779,-0.12533161306307516,-0.9536877652687502,-0.21103028035256585,0.02291175000500574,-0.8724390049198442,-0.44611214949287775,0.20432813577624576,33862.0
10038,0.5971259892361261,-0.9642873453570965,0.11005264235912154,0.7822826845501353,-0.9984450837548828,0.18583746339728419,-0.594117686679554,-0.7106748643472925,-0.06914399309467407,1.068383990396084,38254.0
10039,0.7015069348570356,-0.7907224444298826,-0.33364719529723563,0.0010870233886459352,-0.9953730979061887,-0.23191169428089933,0.27068731315385086,-0.7653757230867249,-0.4941222813083747,0.21351567572264374,48468.0
10040,-0.05932045256824249,-0.7268797493265671,-0.03895635911428877,-0.24862797164443046,-0.7063446894243341,-0.18782174956241723,0.9908065792137236,-0.808889161468593,-0.22668974847913437,0.05183951564004177,82066.0
10044,-0.2311836845174974,-1.2156946027745332,-0.749305520661237,-2.4162549670814055,-1.1068806739252712,-0.21643471973874565,-2.233190771519693,-0.6864034579916664,-0.4941222813083747,0.6251340898183073,23322.0
10065,0.10094987267548068,-0.48134849694726006,-0.6218995396490145,0.07100506900027548,-1.0196045916633774,-0.04160793834321193,0.46612278579530914,0.11791414268278788,-0.4941222813083747,0.4755090366869661,66918.0
10069,-0.8136824447494154,-0.9541509641703126,-0.7503837866039769,-1.6953335886921825,-1.2083801884238319,-0.2697216148465417,-1.2472000144323097,-0.9702461858565351,-0.4941222813083747,3.7917806428428564,11700.0
10075,-0.27575834652365355,-0.7570666526654236,-0.7360383253727694,-0.3240867803193881,-1.100674711482057,-0.09654136522541083,1.4506343428002728,-0.18227115560085952,-0.4941222813083747,0.47565497275649476,50406.0
10128,-0.3017050135728479,-0.7230598757733011,-0.37942637085569514,-0.6069236430482898,-0.922802598126273,-0.16122167262683462,0.5884460914133006,-0.8812102072711886,-0.4795315126257167,0.39591907846208085,111496.0
10280,0.02260467921874827,0.47969722576217005,0.414036924517082,0.09317622356988145,-1.2328803087462654,0.10419663216983699,-0.06703436139708613,-0.4481825669606682,0.018720884341717616,2.2239920729866176,6340.0
